sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
AUSMDU00048792:AA282	2	87972	53.11690083208293	c1f1e45ea1ced922700f8ae32d0b6381	IncI1/B/O	KU932021	MOBP	NC_013728_00087	MPF_I	NC_011754_00087,NC_014843_00047,NC_007365_00035,NC_011754_00109,NC_014843_00041,NC_022371_00084,NC_012487_00131,NC_022992_00098,NC_014843_00033	MOBP	AB290882	conjugative	MK455767	0.0024636	Escherichia coli	AA282	AI113	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 20956594; 20851899; 30761100
AUSMDU00048792:AB446	1	5321	48.63747415899267	5fe5b8dd8b44f2745858d013bbe80b8d	rep_cluster_2350	CP035723_00002	MOBP	NC_019076_00002	-	-	MOBP	NC_010485	mobilizable	NC_002809	0.00420918	Shigella sonnei	AB446	AK232	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
AUSMDU00048792:AB685	1	1660	51.325301204819276	cce66248f0ff53763b8fa75b24557801	Col(MG828)	NC_008486	-	-	-	-	MOBP,MOB_unknown	CP001386,GQ900404	mobilizable	HE610902	0.00268639	Escherichia coli	AB685	AK562	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AUSMDU00048793:AA474	5	91314	49.91567558096239	e2c5146eae24a7e062b1f0ca93302a3c	IncI1/B/O	CP012627	MOBP	NC_019097	MPF_I	NC_019097_00085,NZ_CM001473_00069,NC_022267_00069,NC_019097_00075,NC_015965_00072,NC_023290_00086,NC_019111_00038,NC_022267_00057,NC_019097_00056	MOBP	DQ916413	conjugative	CP041621	0.00157453	Shigella flexneri	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 20956594; 20851899; 30761100
AUSMDU00048793:AA170	13	188709	51.45276589881776	adda4b2418703f7c770cd2d9d56b57dd	IncFIA,IncFIA,IncFIC,IncFIB,IncFII	MK878891_00042,CP042629_00001,AP001918,000096__NC_019117_00097,KF954760	MOBF	NC_017627_00068	MPF_F	NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_009837_00049,NC_013437_00116,08-5333_00200,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200,NZ_CM001154_00091,NC_022651_00077,NC_019094_00090	-	-	conjugative	CP041338	0.00574147	Escherichia coli	AA170	AH820	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
AUSMDU00048793:AA001	2	20300	53.62068965517241	d48f1f5329727aca94b8ad7c8cfd3ce2	-	-	-	-	-	-	-	-	non-mobilizable	CP045282	0.00604372	Escherichia coli	AA001	AH523	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048793:AA336	3	13861	51.30221484741361	24121fc95c47df4d3d951951452a4016	-	-	-	-	MPF_F	NC_013121_00043,NC_022651_00077	MOBF	KX579977	mobilizable	CP033881	0.0543589	Escherichia coli	AA336	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048793:AA977	1	5278	47.63167866616143	21feebf22b2584f3c8bd25bb93b3e5b8	Col156	CP001126_00001	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP034960	0.000239895	Escherichia coli	AA977	AJ479	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
AUSMDU00048793:AA579	1	4193	48.96255664202242	a5e90baaf48b4fa9d7dbc8f2bb077a5d	rep_cluster_1778	001198__NC_010486_00001	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ	NC_016036,NC_010672	mobilizable	KT693144	0.000336872	Escherichia coli	AA579	AI799	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048793:AB685	1	1660	50.30120481927711	4327fc77e4f5d70b9c7723f2430d77fe	Col(MG828)	NC_008486	-	-	-	-	MOBP,MOB_unknown	CP001386,GQ900404	mobilizable	CP003038	0.00134007	Escherichia coli O7:K1 str. CE10	AB685	AK562	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AUSMDU00048794:AA372	1	54806	42.17056526657665	ee5a1d31d0fd8b566a8a62c17ecc92d2	IncI2	JN983044	MOBP	NC_022520_00030	MPF_T	NC_019039_00065,NC_020270_00063,NC_019039_00052,NC_019039_00051,NC_020270_00058	-	-	conjugative	CP042249	0.0114419	Escherichia coli	AA372	AI345	family	Enterobacteriaceae	family	Enterobacteriaceae	family	Enterobacteriaceae	26842776; 30761100; 25861872
AUSMDU00048794:AA352	8	79212	51.78887037317578	27622b8183ca1bbbd747fa3b3b99c6a9	IncFIB,IncFII,IncQ1,rep_cluster_2131	000096__NC_019117_00097,KF954760,000195__NC_013728_00014,CP030770_00142	-	-	-	-	-	-	non-mobilizable	CP041619	0.00232584	Shigella flexneri	AA352	AI306	phylum	Pseudomonadota	phylum	Pseudomonadota	phylum	Pseudomonadota	11254626; 25389419; 2653965; 19482926; 15781495; 20851899; 16257053
AUSMDU00048794:AF098	1	6974	44.68024089475193	f18dc3d72f367f4ba6f50334646cea34	-	-	-	-	-	-	-	-	non-mobilizable	KM189195	0.0315792	Vibrio parahaemolyticus	AF098	-	genus	Vibrio	genus	Vibrio	-	-	-
AUSMDU00048794:AA977	1	5276	47.384382107657316	a834a36b1431156bb431abbabe7d1921	rep_cluster_2131	CP010218_00004	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP040268	0.00115999	Escherichia coli	AA977	AJ479	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
AUSMDU00048794:AC748	1	2224	47.21223021582734	f60f529f8c41574771a4436521461bcc	Col(BS512)	NC_010656	-	-	-	-	-	-	non-mobilizable	CP030115	0.000143503	Escherichia coli	AC748	AM073	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048795:AA297	12	135849	51.15606298169291	efae149a4259bdb43eb12a10e8302c54	IncFIA,IncFIB,rep_cluster_2131	CP022610_00144,000096__NC_019117_00097,CP030770_00142	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_019037_00027,NC_019094_00068,NC_010719_00097,NC_008460_00107,NC_013437_00116,08-5333_00200	-	-	conjugative	LS992181	0.00399629	Escherichia coli	AA297	AI140	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
AUSMDU00048795:AA001	2	20299	53.61840484752943	d0cd83ba1ba8966639bb803ba99272c0	-	-	-	-	-	-	-	-	non-mobilizable	CP045282	0.00604372	Escherichia coli	AA001	AH523	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048795:AB713	2	7123	54.1344938930226	b5a39e3d33a86947679ebe595f07b892	-	-	-	-	-	-	-	-	non-mobilizable	CP029182	0.0595738	Escherichia coli	AB713	-	genus	Escherichia	genus	Escherichia	-	-	-
AUSMDU00048797:AC621	2	47971	44.220466531863	866f61c7f45fdc03a8780a7ee6db80a3	-	-	-	-	-	-	-	-	non-mobilizable	CP009073	0.000264084	Escherichia coli ATCC 25922	AC621	AL885	genus	Escherichia	genus	Escherichia	-	-	-
AUSMDU00048797:AB709	1	24296	39.22044781033915	267fd25b9b01d3064b979661255f76e3	IncX1	000216__CP009767_00121	-	-	-	-	-	-	non-mobilizable	CP009074	2.38274e-05	Escherichia coli ATCC 25922	AB709	AK593	order	Enterobacterales	order	Enterobacterales	family	Enterobacteriaceae	21625636; 22470007
AUSMDU00048797:AA671	1	3284	46.89403166869671	0f18da49cc85e3feb3199c8484a2bbde	rep_cluster_2350	CP041342_00001	MOBF	CP019897	-	-	MOB_unknown	NC_017662	mobilizable	CP035488	0.0	Escherichia coli	AA671	AI949	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
AUSMDU00048797:AE233	1	2030	51.083743842364534	0f1a4b1b0207f68b20d82e0e79007783	rep_cluster_2335	EF088686_00008	-	-	-	-	MOBP	CP008720	mobilizable	CP011625	0.000167546	Klebsiella oxytoca	AE233	AN966	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	order	Enterobacterales	20008783
AUSMDU00048800:AC621	1	47913	44.23642852670465	cc7323e54ab65f393e6db52efdd480d1	-	-	-	-	-	-	-	-	non-mobilizable	CP009073	0.00028831	Escherichia coli ATCC 25922	AC621	AL885	genus	Escherichia	genus	Escherichia	-	-	-
AUSMDU00048800:AB709	1	24276	39.21568627450981	fb78edde83a9127cc2954b36272b592d	IncX1	000216__CP009767_00121	-	-	-	-	-	-	non-mobilizable	CP009074	2.38274e-05	Escherichia coli ATCC 25922	AB709	AK593	order	Enterobacterales	order	Enterobacterales	family	Enterobacteriaceae	21625636; 22470007
AUSMDU00048800:AA671	1	3264	46.90563725490196	054a1462b9f8bfb3e0310934c2b7c7b0	rep_cluster_2350	CP041342_00001	MOBF	CP019897	-	-	MOB_unknown	NC_017662	mobilizable	CP035488	0.0	Escherichia coli	AA671	AI949	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
AUSMDU00048800:AE233	1	2010	51.64179104477612	0f80d96b83c76c51bf58e19d5b379d6e	rep_cluster_2335,rep_cluster_2335	EF088686_00008,KU302809_00001	-	-	-	-	MOBP	CP008720	mobilizable	CP011625	0.000167546	Klebsiella oxytoca	AE233	AN966	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048802:AC621	2	47870	44.2239398370587	479ea1860106ef605bff19e82afbdb9f	-	-	-	-	-	-	-	-	non-mobilizable	CP009073	0.000312573	Escherichia coli ATCC 25922	AC621	AL885	genus	Escherichia	genus	Escherichia	-	-	-
AUSMDU00048802:AB709	1	24296	39.21221600263418	bf6517d95ceed4e977b87a0e2602aa17	IncX1	000216__CP009767_00121	-	-	-	-	-	-	non-mobilizable	CP009074	2.38274e-05	Escherichia coli ATCC 25922	AB709	AK593	order	Enterobacterales	order	Enterobacterales	family	Enterobacteriaceae	21625636; 22470007
AUSMDU00048802:AA671	1	3284	47.10718635809988	e1e013ef1832720f69bd599e7d010398	rep_cluster_2350	CP041342_00001	MOBF	CP019897	-	-	MOB_unknown	NC_017662	mobilizable	CP035488	0.0	Escherichia coli	AA671	AI949	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
AUSMDU00048802:AE233	1	2030	50.64039408866995	51914f3ac71783511a2f543be95698c4	rep_cluster_2335	EF088686_00008	-	-	-	-	MOBP	CP008720	mobilizable	CP011625	0.000167546	Klebsiella oxytoca	AE233	AN966	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	order	Enterobacterales	20008783
AUSMDU00048805:AA171	9	105602	51.66852900513248	2143374cc37cdac31c1c922f311966dc	IncFIA,IncFIB,IncFII	000136__AP014877_00014,000096__NC_019117_00097,KF954760	MOBF	NC_017627_00068	MPF_F	NC_008460_00107,NC_019094_00068,NC_008460_00097,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	NZ_CM001473	conjugative	CP015077	0.0144562	Escherichia coli	AA171	AH828	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
AUSMDU00048805:AC026	5	51918	49.84205863091799	7858f71a1de8688629e49ce85db72968	IncI-gamma/K1	KC788405	MOBP	NC_019097	MPF_I	NC_019097_00056	MOBP	JN253636	conjugative	CP021739	0.00715996	Escherichia coli	AC026	AL044	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AUSMDU00048805:AA038	4	49542	46.413144402728996	dbda7a14ddb28b1fdfb06892149ea6d5	IncX3,rep_cluster_1195	000221__NC_025130_00012,000483__CP010949_00006	MOBP	NC_020552_00059	MPF_T	NC_017624_00009,NC_019083_00030,NC_019157_00030,NC_019157_00029,NC_023277_00163	-	-	conjugative	CP026476	0.00178577	Escherichia coli	AA038	AH615	class	Gammaproteobacteria	class	Gammaproteobacteria	family	Enterobacteriaceae	26842776; 22470007
AUSMDU00048805:AA977	1	5278	47.42326638878363	4b97ad088804583339a0a4384cf4d7b0	Col156	CP001126_00001	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP018967	4.76906e-05	Escherichia coli	AA977	AJ479	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
AUSMDU00048805:AA524	1	4884	53.31695331695332	7e920dd5d3e2d5569da14a2007635640	ColRNAI_rep_cluster_1987	CP041116_00002	MOBP	NC_013090_00004	-	-	MOB_unknown	CP016722	mobilizable	MG649064	4.76906e-05	Escherichia coli	AA524	AI701	multi-phylla	Actinomycetota,Pseudomonadota	multi-phylla	Actinomycetota,Pseudomonadota	-	-	-
AUSMDU00048928:AA337	4	115996	50.68623055967447	852956ac462ddaf25d95fb25c0bdd286	IncFIA,IncFIB,rep_cluster_2131	MK878891_00042,000096__NC_019117_00097,CP030770_00142	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_019094_00068,NC_019037_00027,NC_017639_00100,NC_007675_00027,NC_017630_00031,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	NC_010600	conjugative	CP000244	0.00448671	Escherichia coli UTI89	AA337	AI278	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
AUSMDU00048928:AB595	1	11093	51.89759307671505	920e70c1e991ea05d2530d7a7cb1afa1	rep_cluster_2335	KU302809_00001	-	-	-	-	MOBP	AJ001708	mobilizable	LT985307	0.0158882	Escherichia coli	AB595	AK440	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	order	Enterobacterales	20008783
AUSMDU00048962:AA337	5	114066	50.99065453334035	1f0f019b52becfa88bec4ab610c54292	IncFIA,IncFIB,rep_cluster_2131	000136__AP014877_00014,000096__NC_019117_00097,CP030770_00142	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_019094_00068,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017630_00031,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_019072_00073,NC_013437_00116	MOBF	NC_010600	conjugative	CP000244	0.000239895	Escherichia coli UTI89	AA337	AI278	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
AUSMDU00048973:AC026	3	49654	50.773351593023726	237c7cdb3b01fbf1e5508a65bca1939e	IncI-gamma/K1	KC788405	MOBP	NC_019097	MPF_I	NC_019097_00056	MOBP	JN253636	conjugative	CP034963	0.00800497	Escherichia coli	AC026	AL043	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AUSMDU00048973:AA171	8	67747	52.27390142736948	cd4b680a978461e34c021fe34ecddb3f	IncFIA	000136__AP014877_00014	MOBF	NC_017627_00068	MPF_F	NC_019094_00068,NC_008460_00097,NC_017054_00096,NC_010409_00124,NC_022651_00077	MOBF	NZ_CM001473	conjugative	FJ876827	0.0374354	Klebsiella pneumoniae	AA171	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 24247128; 20851899; 22511964
AUSMDU00048973:AA172	7	65334	49.958673891082746	bcd4d5263f0b513931f25919241cb405	IncFII	KF954760	-	-	-	-	-	-	non-mobilizable	CP040070	0.0349268	Escherichia coli	AA172	-	order	Enterobacterales	order	Enterobacterales	family	Enterobacteriaceae	20851899
AUSMDU00048973:novel_89144b5e9fd8724389d328b3616ad119	2	14449	50.038064917987406	89144b5e9fd8724389d328b3616ad119	IncFIB	000096__NC_019117_00097	-	-	-	-	-	-	non-mobilizable	AY230888	0.0766828	Escherichia coli	novel_89144b5e9fd8724389d328b3616ad119	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AUSMDU00048973:AF190	7	28127	53.68151598108579	5b574a50104d2ab8974412e686646393	-	-	-	-	-	-	-	-	non-mobilizable	CP019281	0.0531179	Escherichia coli	AF190	-	genus	Escherichia	genus	Escherichia	-	-	-
AUSMDU00048973:AD482	1	4766	49.70625262274444	2d3712a2465ff46dec6c95cb02b7274b	rep_cluster_2350,rep_cluster_2350	CP041342_00001,CP035723_00002	MOBP	NC_019076_00002	-	-	MOBP	KY421937	mobilizable	CP033763	0.0374354	Escherichia coli	AD482	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048973:AC748	1	2199	47.61255115961801	6f7f6c692f5d3befca7aa766877de2aa	Col(BS512)	NC_010656	-	-	-	-	-	-	non-mobilizable	CP033398	0.000167546	Escherichia coli	AC748	AM073	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00049068:AA860	9	139090	51.97569918757639	f0e263addb123f701698b4d555660a99	IncC	000092__CP025470	MOBH,MOBH	NC_012885_00072,NC_012690_00071	MPF_F	NC_012885_00167,NC_009140_00071,NC_014170_00023,NC_012885_00083,NC_016974_00085,NC_023291_00077,NC_012885_00091,NC_012885_00088	MOBH	HG428760	conjugative	KU726616	0.000143503	Salmonella enterica subsp. enterica serovar Stanley	AA860	AJ272	phylum	Pseudomonadota	class	Gammaproteobacteria	phylum	Pseudomonadota	23800906; 20138094; 19482926; 24567731; 28842132; 20851899; 22290972; 19949054
AUSMDU00049068:AA174	6	65769	51.1532789003938	333af6ba5b5bd8726346e202e366e4b2	IncFIA,IncFIB	AF250878,000096__NC_019117_00097	-	-	-	-	-	-	non-mobilizable	CP023361	0.0400373	Escherichia coli	AA174	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00049068:AA338	5	62008	51.961037285511544	e39b453bbbecd046cb494ea92d11c1af	IncFIA,IncFIC	000136__AP014877_00014,CP014493_00001	MOBF	NC_017627_00068	MPF_F	NC_008460_00107,NC_019094_00068,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_013437_00116,08-5333_00200,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077	MOBF	NZ_CM001473	conjugative	CP021684	0.0235265	Escherichia coli	AA338	AI281	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00049068:AC249	2	7204	58.814547473625765	d64b9a8c6d8909c0e501dba084dcb20b	-	-	-	-	-	-	-	-	non-mobilizable	KU254581	0.0507636	Escherichia coli	AC249	-	genus	Escherichia	genus	Escherichia	-	-	-
AUSMDU00049087:AA337	8	108069	50.928573411431586	bca51528c8d6626f63f62d336edab461	IncFIA,IncFIB,rep_cluster_2131	000136__AP014877_00014,000096__NC_019117_00097,CP030770_00142	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_019094_00068,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017630_00031,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	NC_010600	conjugative	CP012634	0.00363721	Escherichia coli	AA337	AI278	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
AUSMDU00049087:AA619	1	10162	38.220822672702226	92cc6769452270bde8b43d25efb7c663	-	-	-	-	-	-	-	-	non-mobilizable	KY471146	0.0496454	Escherichia coli	AA619	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00049133:AA352	10	78112	51.849907824662026	0d3ebdd07db67636da0b924baf8f1f1e	IncFIB,IncFII,IncQ1,rep_cluster_2131	000096__NC_019117_00097,KF954760,000195__NC_013728_00014,CP030770_00142	-	-	-	-	-	-	non-mobilizable	CP041619	0.00271444	Shigella flexneri	AA352	AI306	phylum	Pseudomonadota	phylum	Pseudomonadota	phylum	Pseudomonadota	11254626; 25389419; 2653965; 19482926; 15781495; 20851899; 16257053
AUSMDU00049133:AF098	1	6934	44.64955292760312	5bf03e7942299f3264e8878b93c7238a	-	-	-	-	-	-	-	-	non-mobilizable	KM189195	0.0314775	Vibrio parahaemolyticus	AF098	-	genus	Vibrio	genus	Vibrio	-	-	-
AUSMDU00049133:AC748	1	2204	47.186932849364794	3559fa04a1e7c8c800180915b0bcb6b4	Col(BS512)	NC_010656	-	-	-	-	-	-	non-mobilizable	CP030115	0.000143503	Escherichia coli	AC748	AM073	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00049263:AA174	9	109482	51.94004493889406	a4db4d4a224ce81ee65179fd64cea7aa	IncFIA,IncFII,IncFIB,IncFII,IncQ1	000136__AP014877_00014,AJ851089,000095__NZ_CP014273_00094,KF954760,000195__NC_013728_00014	MOBF	NC_017627_00068	MPF_Unknown	08-5333_00200	-	-	conjugative	CP033761	0.0018924	Escherichia coli	AA174	AH839	phylum	Pseudomonadota	phylum	Pseudomonadota	phylum	Pseudomonadota	11254626; 25389419; 2653965; 19482926; 15781495; 20851899; 16257053
AUSMDU00049263:AA142	1	8050	41.900621118012424	1937bd0a4675c900a868986f17a98add	rep_cluster_2350,rep_cluster_2358	CP035723_00002,CP000974_00005	MOBP,MOBP	NC_020251_00005,NC_017321_00002	-	-	MOBP	NZ_CP012498	mobilizable	CP023830	0.00028831	Escherichia coli	AA142	AH776	genus	Escherichia	genus	Escherichia	-	-	-
AUSMDU00049263:AA977	1	7324	47.28290551611141	2ae290fb383db584f3baa580b441e218	Col156	CP001126_00001	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	AP019556	0.0018924	Klebsiella pneumoniae	AA977	AJ479	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
AUSMDU00049263:AA144	1	5882	45.664739884393065	51594ae79f84005180397b409c115b3e	rep_cluster_2350,rep_cluster_2370	CP041342_00001,EU580135_00003	MOBP	NC_020251_00005	-	-	MOBP	KY421937	mobilizable	NC_017655	0.000931334	Escherichia coli O55:H7 str. RM12579	AA144	AH779	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00049263:AA974	1	5243	46.51916841502956	6c2dedee84161b4286b9242daab99a8a	Col156,Col156	CP001126_00001,CP019693_00001	MOBQ	NC_013719_00001	-	-	-	-	mobilizable	CP034824	0.030677	Salmonella sp. SSDFZ54	AA974	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00049263:AA579	1	4183	51.61367439636624	9f498a356afe8a24af3f2875d5cd2bfd	rep_cluster_1778	001211__AP017616_00002	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ	NC_009791,NC_013327	mobilizable	CP016041	0.000119496	Escherichia coli	AA579	AI802	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00049263:AC748	1	2200	47.13636363636363	df84d7715787a37aed021dc5a0a7ec80	Col(BS512)	NC_010656	-	-	-	-	-	-	non-mobilizable	CP023838	0.000931334	Escherichia coli	AC748	AM073	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00049335:AA337	10	112553	50.747647774826085	5e38563568c1ab070daf6df304ebffbb	IncFIA,IncFIB,rep_cluster_2131	000136__AP014877_00014,000096__NC_019117_00097,CP030770_00142	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_019094_00068,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017630_00031,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_019072_00073,NC_013437_00116	MOBF	NC_010600	conjugative	CP000244	0.0011856	Escherichia coli UTI89	AA337	AI278	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
AUSMDU00049642:AA171	14	189857	51.525095203231906	efbe9f8d583d81728d47959cf3a1b904	IncFIA,IncFIA,IncFIA,IncFII,IncFIB,rep_cluster_2131	CP022610_00144,AF250878,000136__AP014877_00014,AJ851089,000096__NC_019117_00097,CP030770_00142	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200,NC_008460_00107,08-5333_00200	MOBF	CP015086	conjugative	CP021871	0.0137488	Escherichia coli	AA171	AH824	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
